USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
724115,93757,INGALLS FIELD AIRPORT,US,VA,KHSP,37.95,-79.817,1156.1,20060101,20200212
724116,13868,NEW RIVER VALLEY AIRPORT,US,VA,KPSK,37.133,-80.683,641.6,19940818,20200211
724117,63802,LONESOME PINE AIRPORT,US,VA,KLNP,36.988,-82.53,818.1,20060101,20200212
724118,93797,MCKNBRG-BRUNWICK RGNL ARPT,US,VA,KAVC,36.688,-78.054,134.7,20060101,20200211
724120,3872,RALEIGH COUNTY MEMORIAL AIRPORT,US,WV,KBKW,37.784,-81.123,766.3,19730101,20200212
724125,3859,MERCER COUNTY AIRPORT,US,WV,KBLF,37.298,-81.204,870.5,20000101,20200211
724127,53801,GREENBRIER VALLEY ARIPORT,US,WV,KLWB,37.867,-80.4,701.7,20060101,20200212
724140,13866,YEAGER AIRPORT,US,WV,KCRW,38.379,-81.59,277.4,19730101,20200212
724165,3725,GRANT CO,US,WV,KW99,38.994,-79.144,292.6,20060101,20130501
724170,13729,ELKINS-RAND CO-J.RAND FIELD AIRPORT,US,WV,KEKN,38.89,-79.855,597.7,19730101,20200212
724175,3802,HARRISON/MARION RGNL ARPT,US,WV,KCKB,39.296,-80.229,366.7,20060101,20200212
724176,13736,MGTN RGNL-W L B HART FD AP,US,WV,KMGW,39.643,-79.916,378,19730101,20200212
724177,13734,ETRN WV RGNL/SHPHERD FD AP,US,WV,KMRB,39.404,-77.945,162.8,19730101,20200212
724180,13781,NEW CASTLE COUNTY AIRPORT,US,DE,KILG,39.674,-75.606,24.1,20050101,20200212
724190,3889,JULIAN CARROLL AIRPORT,US,KY,KJKL,37.591,-83.314,416.1,20050101,20200212
724200,14891,MANSFIELD LAHM REGIONAL AIRPORT,US,OH,KMFD,40.82,-82.518,393.2,20050101,20200212
724210,93814,CINCINNATI/NORTHERN KENTUCKY INTL AP,US,KY,KCVG,39.044,-84.672,269.1,19730101,20200212
724220,93820,BLUE GRASS AIRPORT,US,KY,KLEX,38.041,-84.606,298.7,19730101,20200212
724230,93821,LOUISVILLE  INTL-STANDIFORD FIELD AP,US,KY,KSDF,38.181,-85.739,148.7,19730101,20200212
724233,53841,CAPITAL CITY AIRPORT,US,KY,KFFT,38.185,-84.903,245.1,20060101,20200212
724235,13810,BOWMAN FIELD AIRPORT,US,KY,KLOU,38.228,-85.664,164.6,19411101,20200212
724236,3889,JACKSON CARROLL ARPT,US,KY,KJKL,37.591,-83.314,413.6,19730102,20100801
724237,53803,OWENSBORO-DAVIESS COUNTY AIRPORT,US,KY,KOWB,37.75,-87.167,122.8,20060101,20200212
724238,53886,HENDERSON CITY-COUNTY ARPT,US,KY,KEHR,37.8,-87.683,118,20060101,20200212
724240,13807,GODMAN AAF AIRPORT,US,KY,KFTK,37.9,-85.967,230.1,19450301,20200212
724243,3849,LDON-CRBN APT-MGEE FLD APT,US,KY,KLOZ,37.087,-84.077,362.1,19910321,20200212
724250,3860,TRI-STATE/M.J.FERGUS,US,WV,KHTS,38.365,-82.555,251.2,19730101,20200212
724270,3804,OAK RIDGE,US,TN,KPKB,39.2,-81.27,263.3,19730101,19850531
724270,53868,OAK RIDGE,US,TN,KOQT,36.023,-84.234,274.3,20100801,20200212
724271,3804,PARKERSBURG WOOD COUNTY AP,US,WV,KPKB,39.2,-81.27,263.3,19850531,19900206
724273,3804,MID-OHIO VALLEY REGIONAL AIRPORT,US,WV,KPKB,39.34,-81.444,253.3,19900208,20200212
724275,14894,WHEELING OHIO COUNTY ARPT,US,WV,KHLG,40.176,-80.647,359.4,19730101,20200212
724276,53859,DAYTON-WRIGHT BROTHERS APT,US,OH,KMGY,39.594,-84.226,293.2,20060101,20200212
724280,14821,PORT COLUMBUS INTERNATIONAL AIRPORT,US,OH,KCMH,39.991,-82.877,248.7,19450401,20200212
