zip,lat,lng,city,state_id,population,density,county_fips,timezone,zip0,weather_station_wmo_2024,hdd_base65F_2024,cdd_base65F_2024,distance_location_station_miles_2024,EPW_file_name_2024,Tdb_holes_2024,Tdew_holes_2024,RH_holes_2024,EnergyPlus Status,Missing Data,Extreme Temperature,Sudden Temp Jumps,Constant Temp Periods,Day-Night Swings,Summer Freezing,Winter Extreme Heat,Missing Temperature Data
68414,40.30462,-95.67043,Nemaha,NE,234,1.9,31127,America/Chicago,68414,KFNB0,4567.0,1365.0,16.14243246,KFNB0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
95703,38.9908,-120.98528,Applegate,CA,938,81.3,6061,America/Los_Angeles,95703,KGOO0,3680.0,1687.0,16.1408587,KGOO0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
12865,43.2142,-73.34102,Salem,NY,3688,19.7,36115,America/New_York,12865,72522,6173.0,604.0,16.13933535,72522_2024.epw,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
45356,40.16088,-84.23154,Piqua,OH,25209,127.7,39109,America/New_York,45356,KVES0,4918.0,857.0,16.13762248,KVES0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
1516,42.05284,-71.75092,Douglas,MA,8794,92.3,25027,America/New_York,1516,KSFZ0,5526.0,588.0,16.15147079,KSFZ0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
52001,42.54498,-90.6938,Dubuque,IA,43502,641.8,19061,America/Chicago,52001,KPVB0,5784.0,697.0,16.13606424,KPVB0_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
4988,44.59588,-69.35972,Unity,ME,2348,18.2,23027,America/New_York,4988,KWVL0,6735.0,435.0,16.13479255,KWVL0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
5444,44.64772,-72.90086,Cambridge,VT,1685,32.1,50011,America/New_York,5444,KMVL0,7056.0,377.0,16.13406699,KMVL0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
68767,42.1996,-97.55184,Pierce,NE,3398,6.2,31139,America/Chicago,68767,KLCG0,5858.0,826.0,29.28626308,KLCG0_2024.epw,True,True,True,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
38390,35.84051,-88.37231,Yuma,TN,1144,16.4,47017,America/Chicago,38390,KPHT0,3076.0,1633.0,34.23478712,KPHT0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
93923,36.45757,-121.84387,Carmel,CA,12833,38.4,6053,America/Los_Angeles,93923,KWVI0,3265.0,48.0,33.17210835,KWVI0_2024.epw,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
15140,40.40779,-79.77644,Pitcairn,PA,3230,2469.0,42003,America/New_York,15140,72520,4342.0,1192.0,16.12941282,72520_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
28452,33.99718,-78.55299,Longwood,NC,934,62.0,37019,America/New_York,28452,KCRE0,1858.0,2175.0,16.12808498,KCRE0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
10926,41.30162,-74.12443,Harriman,NY,3467,258.3,36071,America/New_York,10926,KMGJ0,5606.0,638.0,16.12633388,KMGJ0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
61260,41.24624,-90.88299,Joy,IL,1062,7.0,17131,America/Chicago,61260,KMUT0,5047.0,1005.0,16.12494476,KMUT0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
31648,30.70649,-83.01903,Statenville,GA,912,76.4,13101,America/New_York,31648,KVLD0,1206.0,3047.0,16.12475486,KVLD0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
40057,38.38943,-85.0423,Pleasureville,KY,3579,14.1,21103,America/New_York,40057,KFFT0,3713.0,1427.0,16.12354045,KFFT0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
77002,29.75641,-95.3653,Houston,TX,13571,2603.8,48201,America/Chicago,77002,72244,823.0,3547.0,16.12274275,72244_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
71766,33.72222,-92.50976,Thornton,AR,801,4.2,5013,America/Chicago,71766,KCDH0,2222.0,2432.0,16.1212439,KCDH0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
95441,38.73094,-122.90494,Geyserville,CA,2053,7.8,6097,America/Los_Angeles,95441,KSTS0,2877.0,421.0,16.11941783,KSTS0_2024.epw,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
95304,37.67832,-121.3999,Tracy,CA,14539,35.2,6077,America/Los_Angeles,95304,72492,2201.0,1872.0,17.81429648,72492_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
5674,44.11103,-72.86083,Warren,VT,1613,15.6,50023,America/New_York,5674,KMPV0,7218.0,352.0,16.11834769,KMPV0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
4966,44.82818,-70.43,Phillips,ME,1719,3.3,23007,America/New_York,4966,72616,7710.0,277.0,33.41149986,72616_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
37144,35.30522,-86.66033,Petersburg,TN,3195,9.5,47003,America/Chicago,37144,KLUG0,3134.0,1623.0,16.11646028,KLUG0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
18212,40.77523,-75.70957,Ashfield,PA,199,45.0,42025,America/New_York,18212,72517,4831.0,989.0,16.11425429,72517_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
22546,37.94192,-77.44866,Ruther Glen,VA,16242,38.6,51033,America/New_York,22546,KOFP0,3253.0,1642.0,16.11356917,KOFP0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
75754,32.42579,-95.66519,Ben Wheeler,TX,6304,19.6,48467,America/Chicago,75754,KTYR0,1585.0,2991.0,16.11245327,KTYR0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
67012,37.67653,-96.54984,Beaumont,KS,16,0.6,20015,America/Chicago,67012,72450,3720.0,1884.0,30.14691619,72450_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
46017,40.07419,-85.60695,Anderson,IN,5827,130.0,18095,America/Indiana/Indianapolis,46017,KMIE0,4473.0,1129.0,16.11073564,KMIE0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
23884,36.91725,-77.27943,Sussex,VA,33,36.0,51183,America/New_York,23884,KAKQ0,3241.0,1515.0,16.11004902,KAKQ0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
15533,39.98276,-78.24053,Breezewood,PA,1492,15.5,42009,America/New_York,15533,KAOO0,4923.0,792.0,22.07322206,KAOO0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
63010,38.42948,-90.39324,Arnold,MO,36008,640.7,29099,America/Chicago,63010,KCPS0,3652.0,1698.0,16.10877189,KCPS0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
61270,41.82971,-89.9664,Morrison,IL,7007,17.8,17195,America/Chicago,61270,KCWI0,5502.0,835.0,18.67310013,KCWI0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
61930,39.68088,-88.13049,Hindsboro,IL,745,9.2,17041,America/Chicago,61930,KMTO0,4433.0,1138.0,16.10599099,KMTO0_2024.epw,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
67741,39.39495,-101.99935,Kanorado,KS,355,0.8,20181,America/Denver,67741,72465,5207.0,1199.0,16.10561021,72465_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
71630,33.62346,-91.20873,Arkansas City,AR,495,5.5,5041,America/Chicago,71630,74768,1992.0,2630.0,16.10550947,74768_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
42058,37.05917,-88.47485,Ledbetter,KY,2408,56.7,21139,America/Chicago,42058,72435,3089.0,1797.0,16.10528204,72435_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
28344,35.16341,-78.62734,Godwin,NC,4199,41.9,37163,America/New_York,28344,KHRJ0,2586.0,1765.0,16.10436579,KHRJ0_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
95374,37.31615,-120.85288,Stevinson,CA,1758,14.6,6047,America/Los_Angeles,95374,KMCE0,2152.0,2202.0,18.75634752,KMCE0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
93666,36.54713,-119.33539,Sultana,CA,952,982.9,6107,America/Los_Angeles,93666,KVIS0,2278.0,2363.0,16.10350634,KVIS0_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
38080,36.20974,-89.52713,Ridgely,TN,2692,7.4,47095,America/Chicago,38080,KDYR0,2856.0,1938.0,16.10290475,KDYR0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
62075,39.30115,-89.29534,Nokomis,IL,3662,12.8,17135,America/Chicago,62075,KTAZ0,4465.0,1085.0,16.1026432,KTAZ0_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
76692,31.95806,-97.32888,Whitney,TX,10474,33.0,48217,America/Chicago,76692,KINJ0,1678.0,3137.0,16.10216903,KINJ0_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
41092,38.81847,-84.70069,Verona,KY,3891,39.2,21015,America/New_York,41092,72421,4034.0,1384.0,16.10114091,72421_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
41760,37.2054,-83.07866,Scuddy,KY,5,50.0,21193,America/New_York,41760,KLNP0,4467.0,524.0,33.77758493,KLNP0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
30222,33.04301,-84.74461,Greenville,GA,4116,11.0,13199,America/New_York,30222,KCCO0,2308.0,1887.0,18.61485683,KCCO0_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
40330,37.7896,-84.89168,Harrodsburg,KY,19912,34.7,21167,America/New_York,40330,KDVK0,3976.0,1108.0,16.09940962,KDVK0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
13677,44.51126,-75.17881,Pyrites,NY,112,220.1,36089,America/New_York,13677,KOGS0,6464.0,532.0,18.38350817,KOGS0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
73632,35.27186,-98.9274,Cordell,OK,3337,6.4,40149,America/Chicago,73632,KCSM0,3245.0,2400.0,16.09849228,KCSM0_2024.epw,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
5448,44.7555,-72.89736,East Fairfield,VT,941,8.9,50011,America/New_York,5448,71373,6953.0,422.0,19.10725597,71373_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
