zip,lat,lng,city,state_id,population,density,county_fips,timezone,zip0,EPW_file_name_2024,distance_location_station_miles_2024,weather_station_wmo_2024,hdd_base65F_2024,cdd_base65F_2024,Tdb_holes_2024,Tdew_holes_2024,RH_holes_2024,EnergyPlus Status,Missing Data,Extreme Temperature,Sudden Temp Jumps,Constant Temp Periods,Day-Night Swings,Summer Freezing,Winter Extreme Heat,Missing Temperature Data
1730,42.49697,-71.27833,Bedford,MA,14053,396.0,25017,America/New_York,1730,74490_2024.epw,2.3650500477287806,74490,5648.0,702.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
20136,38.73801,-77.55371,Bristow,VA,30635,807.4,51153,America/New_York,20136,72403_2024.epw,14.602135201800548,72403,3694.0,1562.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
75390,32.81419,-96.8408,Dallas,TX,0,0.0,48113,America/Chicago,75390,72258_2024.epw,2.3618411006984297,72258,1652.0,3397.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
83530,45.92139,-116.08486,Grangeville,ID,5725,6.1,16049,America/Los_Angeles,83530,KGIC0_2024.epw,2.361710909932304,KGIC0,6802.0,324.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
11109,40.74589,-73.95751,Long Island City,NY,5981,46402.1,36081,America/New_York,11109,KJRB0_2024.epw,4.099250457229093,KJRB0,3882.0,1341.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
7302,40.71978,-74.04681,Jersey City,NJ,43770,11553.8,34017,America/New_York,7302,KJRB0_2024.epw,2.359961821348442,KJRB0,3882.0,1341.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
71101,32.50609,-93.74683,Shreveport,LA,6694,597.8,22017,America/Chicago,71101,KDTN0_2024.epw,2.359182679891158,KDTN0,1622.0,3000.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
10003,40.7318,-73.98911,New York,NY,54682,36625.5,36061,America/New_York,10003,KJRB0_2024.epw,2.3569146239040792,KJRB0,3882.0,1341.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
85714,32.1674,-110.95082,Tucson,AZ,15693,920.6,4019,America/Phoenix,85714,72274_2024.epw,2.356569879387966,72274,1364.0,3922.0,False,False,False,Good,Good,Good,Suspicious,Good,Suspicious,Good,Good,Good
33316,26.09503,-80.1241,Fort Lauderdale,FL,9801,768.9,12011,America/New_York,33316,74783_2024.epw,2.3562073887078934,74783,57.0,4987.0,False,False,False,Good,Good,Good,Good,Suspicious,Good,Good,Good,Good
90710,33.79809,-118.29907,Harbor City,CA,28185,4622.8,6037,America/Los_Angeles,90710,72297_2024.epw,8.654238031241947,72297,1084.0,882.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
10009,40.72633,-73.97861,New York,NY,57925,36257.1,36061,America/New_York,10009,KJRB0_2024.epw,2.3553879205095827,KJRB0,3882.0,1341.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
30120,34.16708,-84.85534,Cartersville,GA,41253,173.0,13015,America/New_York,30120,KPUJ0_2024.epw,18.28785334394817,KPUJ0,2720.0,1465.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
66062,38.83455,-94.77798,Olathe,KS,80489,649.8,20091,America/Chicago,66062,KOJC0_2024.epw,2.3527264628079925,KOJC0,4054.0,1481.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
48212,42.40942,-83.05601,Hamtramck,MI,38161,2751.1,26163,America/Detroit,48212,KDET0_2024.epw,2.3523390850061383,KDET0,4571.0,1217.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
