0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2020,1,2,15,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,15.6,0.6,36.0,101540.0,525.22,1407.53,291.83,316.3,579.47,143.41,33348.76,50331.48,19205.99,2806.9,210.0,13.0,6.18,99,9999,99999,9,999999999,1.8,0.06,0.0,99,0.12,0.0,9
2020,1,2,16,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,15.6,2.4,41.0,101610.0,342.02,1406.87,295.88,172.82,297.49,108.23,18249.76,21010.15,13685.63,2176.67,190.0,16.6,7.05,99,9999,99999,9,999999999,2.0,0.07,0.0,99,0.12,0.0,9
2020,1,2,17,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,13.9,1.8,44.0,101610.0,113.68,1408.31,306.73,36.3,56.63,33.19,4000.84,2153.9,4086.95,688.09,200.0,9.4,8.38,99,9999,99999,9,999999999,2.2,0.08,0.0,99,0.12,0.0,9
2020,1,2,18,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,13.9,1.8,44.0,101610.0,0.0,0.0,319.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.33333333333334,7.6,9.98,99,9999,99999,9,999999999,2.41,0.09,0.0,99,999.0,0.0,9
2020,1,2,19,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,13.3,2.2,47.0,101600.0,0.0,0.0,323.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.66666666666666,7.6,9.99,99,9999,99999,9,999999999,2.62,0.09,0.0,99,999.0,0.0,9
2020,1,2,20,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,13.3,0.6,42.0,101650.0,0.0,0.0,337.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,11.2,10.0,99,9999,99999,9,999999999,2.84,0.11,0.0,99,999.0,0.0,9
2020,1,2,21,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,13.3,-0.7,38.0,101700.0,0.0,0.0,337.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,13.0,10.0,99,9999,99999,9,999999999,2.97,0.12,0.0,99,999.0,0.0,9
2020,1,2,22,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,12.8,0.5,43.0,101670.0,0.0,0.0,337.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.33333333333334,9.4,10.0,99,9999,99999,9,999999999,3.11,0.12,0.0,99,999.0,0.0,9
2020,1,2,23,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,12.2,0.6,45.0,101640.0,0.0,0.0,330.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.66666666666666,9.4,10.0,99,9999,99999,9,999999999,3.26,0.12,0.0,99,999.0,0.0,9
2020,1,2,24,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,12.2,1.2,47.0,101590.0,0.0,0.0,336.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,7.6,10.0,99,9999,99999,9,999999999,3.4,0.12,0.0,99,999.0,0.0,9
2020,1,3,1,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,12.2,1.2,47.0,101600.0,0.0,0.0,339.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.33333333333334,7.6,10.0,99,9999,99999,9,999999999,3.54,0.15,0.0,99,999.0,0.26666666666666666,9
2020,1,3,2,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,11.1,3.4,59.0,101540.0,0.0,0.0,340.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.66666666666666,5.4,10.0,99,9999,99999,9,999999999,3.68,0.18,0.0,99,999.0,0.5333333333333333,9
